,date,restaurant_id,*,**,***
20619,04-04-2006,6VOp6a3L,7,0,2
10144,04-10-2006,1JEbP4oR,0,0,0
19634,16-10-2006,Pk3w02od,6,1,2
24797,19-10-2006,1JEbP4oR,0,0,0
20253,17-11-2006,N6OkmQ3x,0,0,0
6867,30-11-2006,v5oJKbOB,0,0,0
1808,02-01-2007,0ZEDMl3D,0,0,0
22543,02-01-2007,m0oWNg3G,0,0,0
12564,03-01-2007,Pk3w2qEd,0,0,0
18707,04-01-2007,JBEyyJE8,0,0,0
9578,04-01-2007,WeEeAWEa,0,0,0
12718,05-01-2007,WwOaqBOB,0,0,0
19554,05-01-2007,wmo7BG3q,0,0,0
4161,08-01-2007,N6OkjVox,0,0,0
11635,09-01-2007,0ZEDMl3D,0,0,0
21551,10-01-2007,dj3deXo9,0,0,0
5024,10-01-2007,rNo69l36,0,0,0
19292,10-01-2007,v5oJyJ3B,7,1,2
11620,12-01-2007,nkOvRxOB,0,0,0
21723,16-01-2007,B1oXQmOV,0,0,0
7394,16-01-2007,JBEyeBE8,0,0,0
23633,16-01-2007,ekE42No2,0,0,0
11251,16-01-2007,wmo7BG3q,0,0,0
14512,17-01-2007,N6OkjVox,0,0,0
8628,17-01-2007,m0oW8gOG,0,0,0
20829,17-01-2007,wmo7Z73q,2,0,0
20541,19-01-2007,WwOaqBOB,0,0,0
4268,19-01-2007,lnORVGON,0,0,0
15008,19-01-2007,qN3gW13A,0,0,0
25019,19-01-2007,rJoQj0OV,0,0,0
24587,19-01-2007,v5oJyJ3B,7,1,2
8525,22-01-2007,KAoKxdOg,0,0,0
20467,22-01-2007,njoZgbOr,0,0,0
25987,23-01-2007,1JEbP4oR,0,0,0
1851,23-01-2007,B1oXWb3V,0,0,0
22491,23-01-2007,JBEyeBE8,0,0,0
32129,23-01-2007,KAoKB3gm,0,0,0
25404,23-01-2007,Y1Em0mOw,0,0,0
8855,23-01-2007,ekE42No2,0,0,0
20169,24-01-2007,1JEbr1ER,0,0,0
1742,24-01-2007,NbE1YaEJ,0,0,0
28841,25-01-2007,6Wo2LYE9,0,0,0
10718,25-01-2007,ydEjeOW0,0,0,0
7760,26-01-2007,qN3gW13A,0,0,0
2856,26-01-2007,we39ZAok,0,0,0
26066,29-01-2007,VpoGz73r,0,0,0
3087,29-01-2007,eVOBWeEj,14,1,3
6664,29-01-2007,njoZgbOr,0,0,0
30912,29-01-2007,we39ZAok,0,0,0
12378,30-01-2007,1JEbP4oR,0,0,0
2288,30-01-2007,6VOpy5EL,0,0,0
26035,30-01-2007,Pk3wb5Ed,0,0,0
12663,30-01-2007,m0oWmREG,0,0,0
3967,31-01-2007,8x3zy2Ek,16,0,8
3041,31-01-2007,JGoNdWEL,0,0,0
24908,31-01-2007,XJ3r5ZER,0,0,0
1915,31-01-2007,we39Nvok,0,0,0
3502,31-01-2007,wmo77doq,0,0,0
4202,01-02-2007,8x3zy2Ek,16,0,8
4242,01-02-2007,9JoP9QO8,0,0,0
31192,01-02-2007,ydEj5gOW,0,0,0
24537,02-02-2007,1m3MNboB,0,0,0
9433,02-02-2007,8gOqR0E2,0,0,0
20004,02-02-2007,B1oXAQOV,0,0,0
26572,03-02-2007,9JoP9QO8,0,0,0
19595,05-02-2007,1JEbDQoR,0,0,0
506,06-02-2007,p038NDOm,0,0,0
2757,07-02-2007,1JEbr1ER,0,0,0
22311,07-02-2007,KAoKB3gm,0,0,0
